1,Акролеин,(H2C),,0.839,52.7,0.2,0,0.013,3,"[0.1, 0.2, 0.1, 1.0, 2.2]",-4.94791666666667e-7*x**4 + 5.20833333333333e-6*x**3 + 0.00144791666666667*x**2 + 0.0179166666666667*x + 0.1,,
2,Аммиак хранение под давлением,(NH3),0.0008,0.681,33.42,15,0.18,0.025,0.04,"[0.0, 1.0, 6.0, 1.0, 14.0]",1.09375e-5*x**4 + 0.000145833333333333*x**3 - 0.016875*x**2 - 0.0583333333333333*x + 6.0,"[0.9, 1.0, 1.0, 1.0, 1.0]",-2.60416666666666e-8*x**4 + 1.04166666666667e-6*x**3 + 1.04166666666668e-5*x**2 - 0.000416666666666669*x + 1.0
3,Аммиак изотермическое хранение,(NH3),,0.681,33.42,15,0.01,0.025,0.04,"[0.0, 1.0, 1.0, 1.0, 1.0]",-2.60416666666667e-7*x**4 + 1.04166666666667e-5*x**3 + 0.000104166666666667*x**2 - 0.00416666666666667*x + 1.0,"[0.9, 1.0, 1.0, 1.0, 1.0]",-2.60416666666666e-8*x**4 + 1.04166666666667e-6*x**3 + 1.04166666666668e-5*x**2 - 0.000416666666666669*x + 1.0
4,Ацетонитрил,(C2HsN),,0.786,81.6,21.6,0,0.004,0.028,"[0.02, 0.3, 1.0, 1.0, 2.6]",8.90625e-7*x**4 + 1.22916666666667e-5*x**3 - 0.00123125*x**2 + 0.0125833333333333*x + 1.0,,
5,Ацетонциангидрин,(C4H7NO),,0.932,120,1.9,0,0.002,0.316,"[0.0, 0.0, 0.3, 1.0, 1.5]",-1.82291666666667e-7*x**4 - 5.20833333333334e-6*x**3 + 0.000572916666666667*x**2 + 0.0270833333333333*x + 0.3,,
6,Водород мышьяковистый,(AsH3),0.0035,1.64,62.47,0.2,0.17,0.054,3,"[3.0, 0.5, 8.0, 1.0, 12.0]",1.484375e-5*x**4 + 8.33333333333333e-5*x**3 - 0.0240625*x**2 - 0.0208333333333333*x + 8.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.00000000000000
7,Водород фтористый,(HF),,0.989,19.52,4,0,0.028,0.15,"[0.1, 0.2, 0.5, 1.0, 1.0]",-1.82291666666667e-7*x**4 - 7.29166666666667e-6*x**3 + 0.000322916666666667*x**2 + 0.0229166666666667*x + 0.5,,
8,Водород хлористый,(HCl),0.0016,1.191,85.1,2,0.28,0.037,0.3,"[4.0, 6.0, 8.0, 1.0, 12.0]",9.375e-6*x**4 + 0.0001875*x**3 - 0.015*x**2 - 0.2*x + 8.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.00000000000000
9,Водород бромистый,(HBr),0.0036,1.49,66.77,2.4,0.13,0.055,0.25,"[3.0, 0.5, 8.0, 1.0, 12.0]",1.484375e-5*x**4 + 8.33333333333333e-5*x**3 - 0.0240625*x**2 - 0.0208333333333333*x + 8.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.00000000000000
10,Водород цианистый,(HCN),,0.687,25.7,0.2,0,0.026,3,"[0.0, 0.0, 0.4, 1.0, 1.3]",-7.8125e-8*x**4 - 7.29166666666667e-6*x**3 + 0.00028125*x**2 + 0.0279166666666667*x + 0.4,,
11,Диметиламин,((CH3)2NH),0.002,0.68,6.9,1.2,0.06,0.041,0.5,"[0.0, 0.0, 0.0, 1.0, 2.5]",-3.90625e-7*x**4 + 5.20833333333334e-6*x**3 + 0.00140625*x**2 + 0.0229166666666667*x,"[0.1, 0.3, 0.8, 1.0, 1.0]",1.82291666666667e-7*x**4 - 5.20833333333333e-6*x**3 - 0.000447916666666667*x**2 + 0.0195833333333333*x + 0.8
12,Метиламин,(CH5N),0.0014,0.699,6.5,1.2,0.13,0.034,0.5,"[0.0, 0.0, 3.0, 1.0, 18.0]",8.33333333333333e-6*x**4 + 0.000166666666666667*x**3 - 0d.00958333333333333*x**2 - 0.0416666666666667*x + 3.0,"[0.3, 0.7, 1.0, 1.0, 1.0]",1.30208333333333e-7*x**4 + 1.04166666666667e-6*x**3 - 0.000427083333333333*x**2 + 0.00708333333333334*x + 1.0
13,Метил бромистый,(CHBr),,1.732,3.6,1.2,0.04,0.039,0.5,"[0.0, 0.0, 0.0, 1.0, 23.0]",4.94791666666667e-6*x**4 + 0.00021875*x**3 - 0.000729166666666667*x**2 - 0.0625*x,"[0.2, 0.4, 0.9, 1.0, 1.0]",2.60416666666667e-7*x**4 - 4.16666666666667e-6*x**3 - 0.000604166666666666*x**2 + 0.0166666666666667*x + 0.9
